epoch,train_mae_scaled_return,val_mae_scaled_return
1,0.07514976091528457,0.0715589423974355
2,0.07508446461533042,0.07160497610531157
3,0.07503308747092452,0.0715839122495954
4,0.07494377697149598,0.07158416083880834
5,0.07488610753596477,0.07160398435024988
6,0.07479604630044276,0.07157760692967309
7,0.07473348392962469,0.0715742018960771
8,0.07464956688563186,0.0715524580270525
9,0.07456567929092306,0.07155372107785846
10,0.07447165322856865,0.0716064754459593
11,0.07438554399281828,0.07163189871916695
12,0.07433214499766828,0.0716508546518901
13,0.07425692052325751,0.07170170947672828
14,0.07415989960699185,0.07170160729733724
15,0.07410066656452058,0.07170281831234221
16,0.07402881610723026,0.07177945805920495
17,0.0739700992951153,0.07178101818712931
18,0.07389404512169566,0.0718296127659934
19,0.07384443937673033,0.0718558771269662
20,0.07377021311831027,0.0718766517109341
21,0.07369887797936046,0.0719028947845338
22,0.07365519512970614,0.07191315340617346
23,0.07356774723129705,0.07196933409524342
24,0.0734582775937134,0.07191713840242416
25,0.07338626362081813,0.07191523909568787
26,0.07334781297632408,0.07194206615289052
27,0.07327631994096336,0.07194138708568755
28,0.0732131367521719,0.07196604141167232
29,0.07311337010940465,0.07197256055143145
30,0.07308280613615388,0.07199316152504512
31,0.0730290374804108,0.07199790600746397
32,0.07295034137377028,0.0720127345550628
33,0.07290952122399744,0.07202151914437611
34,0.07285444765017982,0.07199184265401629
35,0.0727811383500857,0.07200774408522106
36,0.07275362456951066,0.07201549079683092
37,0.07267076049187576,0.07202519783898005
38,0.07259833078688012,0.0720220607897592
39,0.0725064974752607,0.07205547416020953
40,0.07245150818935386,0.07204810021415589
41,0.07236291524041205,0.07202160216513134
42,0.07229692792668865,0.07201908197667864
43,0.0722342443166104,0.07202655266201685
44,0.07216511196056924,0.07203560334349436
45,0.0721108482861919,0.07203913278995998
46,0.07205279851065689,0.07200489914606488
47,0.07198440738809309,0.07205632494555579
48,0.07191032266863948,0.07206597593095568
49,0.0718464794746156,0.07206569990468403
50,0.07177191727076679,0.07207480120280432
51,0.07171433197604704,0.07210306208285075
52,0.07163120723841573,0.07211993682006049
53,0.07157157488012832,0.07211301227410634
54,0.07150043108797496,0.07209920291862791
55,0.07142376021536294,0.07218069949793438
56,0.07136728154883333,0.07218511024164775
57,0.07130559777283833,0.07220881018373701
58,0.07125299081927108,0.07222896459556762
59,0.07118581561969275,0.07222951759421636
60,0.0711220885458727,0.07219602593353816
61,0.07106986196172908,0.07221430611042749
62,0.0710260095948175,0.07223897486452073
63,0.07097789208310025,0.07231895152538542
64,0.07089524294699286,0.07235469468056209
65,0.07085158912003452,0.07239586919073075
66,0.0708031620819265,0.07240312913107494
67,0.07074468830730932,0.07240815673555646
68,0.07069779269080995,0.07242531814272442
69,0.0706372807080042,0.0724298566106766
70,0.07056774150466166,0.07248240922178541
71,0.07048905325312488,0.07253660758336385
72,0.07042824101118557,0.07256141707064613
73,0.07039427516020298,0.07257839327766782
74,0.07033721180329318,0.07258918361058311
75,0.07025538915942946,0.07258052438024491
76,0.07022149541653391,0.07261992446959965
77,0.07018092327621588,0.07262881123830402
78,0.07011833583967354,0.0726400176211009
79,0.07005315242373814,0.07267412898086366
80,0.06999491544960752,0.07270557941898467
81,0.0699288414061246,0.07272800117258042
82,0.06988831936783522,0.07275364394225771
83,0.06985048930595564,0.07275324917974926
84,0.06977472185853204,0.07280952187757643
85,0.06974769162284422,0.07282895441093142
86,0.06969833309299736,0.0728395583610686
87,0.06962610453161294,0.07287165901017567
88,0.06957440306262462,0.07292854975140284
89,0.06952892157073552,0.07291648856231145
90,0.06947652361588323,0.07291440783985077
91,0.06940031281110683,0.07295336396921248
92,0.06935617924913366,0.07296362093516759
93,0.06931959308853036,0.072991644106214
94,0.06927032705473642,0.07292590846144964
95,0.06921484077906444,0.07294066699724348
96,0.06916404726592362,0.07294545358135587
97,0.06911346742925616,0.07294236549309321
