epoch,train_mae_scaled_return,val_mae_scaled_return
1,0.07514743268607517,0.0715534630275908
2,0.07506193944344045,0.07163831828132508
3,0.07499451046811392,0.07168583169816033
4,0.07488527068792891,0.0716768034866878
5,0.07480866954039492,0.07169553495588757
6,0.07470731975589782,0.07172617505467127
7,0.07461471849756439,0.0717214953804773
8,0.0745171844106083,0.0717116714943023
9,0.07441567296395768,0.07171194302657294
10,0.07426490866361224,0.07177876148905073
11,0.07417918647559468,0.07179309309475006
12,0.07405802161825374,0.07178765629965161
13,0.07397829772865902,0.07181328558732593
14,0.07386666420122713,0.07177112618136028
15,0.07378717478794972,0.07177313689201598
16,0.07370897025781935,0.07186969641655211
17,0.07363183472787287,0.0718653980228636
18,0.07356858175516363,0.07183704560711271
19,0.07348711921043716,0.07183272971047296
20,0.07337340490427328,0.0718438554377783
21,0.07327096073024954,0.07186347979401785
22,0.07320025382307886,0.0719020397417129
23,0.07312551989548298,0.0718952604229488
24,0.0730517631192551,0.07186654754101283
25,0.07298455214512195,0.0718674368801571
26,0.07294323182823863,0.07185388533841996
27,0.07283972909808277,0.07178291205375914
28,0.07275852144705931,0.07178909840091827
29,0.07266235358917467,0.07180605284751408
30,0.07258912895944959,0.07184431169714246
31,0.07250035166563898,0.07186774531054119
32,0.07242803378554699,0.07188109296654897
33,0.07232501451201877,0.07189664599441346
34,0.07226094852136365,0.07189348529255579
35,0.07216657774646096,0.07188623268452901
36,0.07213247880001294,0.0719169806393366
37,0.0720360653745222,0.0719330105043593
38,0.0719444017566792,0.07192891812513745
39,0.07184643166733636,0.07182964564315857
40,0.07174554727567031,0.07180544994180164
41,0.07162965154541916,0.07175346310176546
42,0.07153018539714437,0.07172456028915587
43,0.07145417847202655,0.07167194972908686
44,0.07136263112148669,0.0716800791403604
45,0.07129323619315796,0.07165713868443928
46,0.07121616844657849,0.07162620718517
47,0.07112801141176384,0.07158147650105613
48,0.07104623363319296,0.07164038433915093
49,0.07097380825291734,0.07164461626892998
50,0.07088289813663505,0.07165972817511786
51,0.07081353627623363,0.07166835925881825
52,0.07071023724921717,0.07166656402368395
53,0.07063454976498433,0.07167893435273852
54,0.0705578748618509,0.07167508796093956
55,0.07044872060521098,0.07169171339935726
56,0.07036389757650155,0.07170996046255505
57,0.07029444598551446,0.07177074797569759
58,0.07018851620482551,0.07175820711113158
59,0.07007685936215129,0.07175559538697439
60,0.0700042104791677,0.07175580447628385
61,0.06994939762418621,0.07175419065687391
62,0.06984397960203421,0.07175262840021224
63,0.06978816614805299,0.07167775148437136
64,0.06970641496503929,0.07164667475791205
65,0.06964278347635787,0.07162954693748838
66,0.06957873978595978,0.07166794486462123
67,0.06949728615545214,0.0717021981402049
68,0.06946703379740249,0.07173717092900049
69,0.06937380657261945,0.07178723480966356
70,0.06930528476701908,0.0717458627999775
71,0.06917395864163782,0.07174755916708991
72,0.06908077110425152,0.07178231009415217
73,0.0690254119223927,0.07181039665426527
74,0.06893938267925297,0.07187248600853814
75,0.06885904638576602,0.07188557987175291
76,0.06879996918031517,0.07190763169810885
77,0.06873898418493356,0.07188068188372113
78,0.06866357989631307,0.0718933218528354
79,0.06855736369853664,0.07189442879623836
80,0.06848674087333774,0.0718929675363359
81,0.06839946057989472,0.07192982946123395
82,0.06832556658942043,0.07189823639771295
