epoch,train_loss,val_loss,val_mae_dollars,learning_rate
1,0.026512264652410522,0.005249171517789364,9.675770890713567,0.0001
2,0.008815498324111104,0.005029886029660702,9.564458512258849,0.0001
3,0.007780434738378972,0.004792573396116495,9.356317617224978,0.0001
4,0.007687502074986696,0.004325604997575283,8.896456850166508,0.0001
5,0.007035911818093155,0.004302238579839468,8.887955783879814,0.0001
6,0.006783474440453574,0.0042826710268855095,8.864222431681853,0.0001
7,0.006764659134205431,0.00430509727448225,8.847471183894038,0.0001
8,0.006554377505381126,0.005395830143243074,9.994603605984384,0.0001
9,0.006400452861271333,0.004697034135460854,9.186870753073313,0.0001
10,0.006352043405058794,0.004404890350997448,8.931847612153867,0.0001
11,0.006276330721448176,0.0043408977799117565,8.88719021000942,0.0001
12,0.006268903918680735,0.004315745551139116,8.874839068154495,0.0001
13,0.006044174588168971,0.004649626091122627,9.15594327716617,0.0001
14,0.006408985413145274,0.004479285795241594,8.984495816271567,5e-05
15,0.006097517689340748,0.004526669159531593,9.069191427267274,5e-05
16,0.005993083526846021,0.0045144930481910706,9.04404095052208,5e-05
17,0.005952603125479072,0.004754368681460619,9.306467255830242,5e-05
18,0.006107823079219088,0.004514869302511215,9.064547691568864,5e-05
19,0.006269953475566581,0.00433605769649148,8.875629720594025,5e-05
20,0.00600001903512748,0.004791331011801958,9.337827427617247,2.5e-05
21,0.006034979531250428,0.004560414701700211,9.065040978158756,2.5e-05
22,0.006127357359218877,0.004634043667465448,9.145971216983012,2.5e-05
23,0.005901244261622196,0.004391967784613371,8.927731203208442,2.5e-05
24,0.006245423079235479,0.004354591481387615,8.889587977507594,2.5e-05
25,0.005976138068945147,0.004365520551800728,8.934399648033594,2.5e-05
26,0.005994509279844351,0.004442876670509577,9.012533263254415,1.25e-05
27,0.005995195751893334,0.004411025904119015,8.97150743338137,1.25e-05
28,0.006004546863550786,0.004509396851062775,9.069689382471104,1.25e-05
29,0.005978974149911664,0.004501653835177422,9.058826282461405,1.25e-05
30,0.006038207058736589,0.004480195231735706,9.03683315991781,1.25e-05
31,0.005858097596501466,0.004543635994195938,9.108331066462677,1.25e-05
32,0.005860652760020457,0.004576330538839102,9.143977147905973,6.25e-06
33,0.005983068487694254,0.004480651579797268,9.048165761854257,6.25e-06
34,0.006089629117923323,0.004444655030965805,9.012477549003513,6.25e-06
35,0.006031165030435659,0.004481005482375622,9.05064251251209,6.25e-06
36,0.005864013321115635,0.0044543384574353695,9.023326522315948,6.25e-06
37,0.005948204081505537,0.004486132878810167,9.05894098923481,6.25e-06
38,0.005886027553060558,0.004451668821275234,9.021864853593277,3.125e-06
39,0.006168346902995836,0.004496266134083271,9.068777402694455,3.125e-06
40,0.005937637070019264,0.004456634167581797,9.030805738527754,3.125e-06
41,0.005952230931143276,0.004418696276843548,8.988567981810572,3.125e-06
42,0.0059292316873325035,0.00443200021982193,9.003588055504867,3.125e-06
43,0.005977582426567096,0.004445547237992287,9.019236451112524,3.125e-06
44,0.006028155461535789,0.004460284952074289,9.034509567169788,1.5625e-06
45,0.005771105468738824,0.004468926694244146,9.043348064951946,1.5625e-06
46,0.0059590216260403395,0.004473529756069183,9.048315127649056,1.5625e-06
47,0.006183876801514998,0.004474262706935406,9.049293063998014,1.5625e-06
48,0.0058457532213651575,0.004490442108362913,9.065181236918884,1.5625e-06
49,0.0057832803431665525,0.004495999310165644,9.070560331503867,1.5625e-06
50,0.006135814779554494,0.004485956393182278,9.059730501792274,7.8125e-07
