Model,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MSE_mean,MSE_std,MSE_min,MSE_max,overall_MAE_rank
LSTM,11.055570434500133,0.21086616249626797,10.86367419381237,11.544814934615317,8.907638623588102,0.18955202613969696,8.69410454664896,9.364885042000612,2.114971997553895,0.04104777544400573,2.066934173796337,2.2125758966648843,122.26565571683076,4.7183193365145755,118.01941698930486,133.28275187451686,1.0
Transformer,11.116150014195814,0.18564422787237936,10.893424689398675,11.441536722508586,9.008618663831317,0.1645212086511807,8.75358823280337,9.300855691094073,2.1389664097242784,0.039211928690633106,2.0811997254982777,2.2187320704415683,123.59980853951372,4.150217864007537,118.6667014636006,130.9087625725125,2.0
GRU,11.26387391389827,0.6483142101620285,10.890189845031815,12.856234547223252,9.069485881157311,0.5358433215138628,8.686870856787893,10.4084522505964,2.1510992957931565,0.12055389453164232,2.065330293787128,2.4540912590948856,127.2531357317861,15.323223355414568,118.59623486083404,165.28276673321665,3.0
XGBoost,12.604184945905319,0.2964318960957282,12.169981344326347,13.011518733670673,10.144981670466624,0.30423332099632094,9.662051971122835,10.522325838245056,2.4032272747229944,0.07196025542333556,2.2896545114826163,2.4939611890562188,158.94456283270685,7.467691039006603,148.1084459212513,169.29961975666288,4.0
