Seed,Configuration,Model,RMSE,MAE,MAPE,MSE
42,technical,LSTM,11.01161796556301,8.82152017313493,2.0996681667824473,121.25573021951004
42,technical,GRU,10.95840422044592,8.836855493465963,2.10166841728709,120.08662305868698
42,technical,Transformer,10.893424689398675,8.75358823280337,2.0811997254982777,118.6667014636006
42,technical,XGBoost,12.556664973454055,10.019588999568969,2.373337265013673,157.66983525556793
42,technical_sentiment,LSTM,10.913689654211616,8.852618500453861,2.1011147707075333,119.10862186844565
42,technical_sentiment,GRU,11.036579888357393,8.935596195870607,2.1218755844168102,121.8060956320949
42,technical_sentiment,Transformer,11.014863304011795,8.921144058106735,2.1182446040810787,121.32721360606565
42,technical_sentiment,XGBoost,13.011518733670673,10.48256648114205,2.4813671569411904,169.29961975666288
43,technical,LSTM,10.899313400262365,8.782910224942473,2.088316345462381,118.79503259713877
43,technical,GRU,10.91958829964386,8.762613675999877,2.08348813796039,119.23740863371907
43,technical,Transformer,11.085166261223872,8.999692026100593,2.1333506885084867,122.88091103897605
43,technical,XGBoost,12.306541559468814,9.902613178193862,2.3444662911190326,151.4509651549331
43,technical_sentiment,LSTM,11.070724524728194,8.90733031333038,2.1165796043443854,122.5609415024183
43,technical_sentiment,GRU,11.168030848208948,8.974921667260464,2.129085162336752,124.72491302654667
43,technical_sentiment,Transformer,11.441536722508586,9.300855691094073,2.2187320704415683,130.9087625725125
43,technical_sentiment,XGBoost,12.97032893986698,10.522325838245056,2.4939611890562188,168.22943280835088
44,technical,LSTM,10.924531090577593,8.827198492468884,2.0957890651800968,119.34537954899645
44,technical,GRU,10.950596008482096,8.801905181347836,2.0934055841765202,119.91555294098403
44,technical,Transformer,11.092897358267741,8.92890035858352,2.1275656157247926,123.05237180106344
44,technical,XGBoost,12.26633202347577,9.77194926174849,2.3179595786989604,150.46290131014715
44,technical_sentiment,LSTM,11.174427981766168,8.98669951344785,2.1305434315199987,124.86784071967872
44,technical_sentiment,GRU,10.896954186656163,8.686870856787893,2.065330293787128,118.7436105460833
44,technical_sentiment,Transformer,10.96225086774562,8.89227794952966,2.110263294293818,120.1709440873896
44,technical_sentiment,XGBoost,12.498946469386414,10.18757051347088,2.412152185119247,156.2236628445871
45,technical,LSTM,10.926259037527833,8.797714910594753,2.0912940094430765,119.38313655515867
45,technical,GRU,10.890189845031815,8.791434741949617,2.085379719915881,118.59623486083404
45,technical,Transformer,10.946744329465217,8.912696643712582,2.116492936467135,119.83121141467886
45,technical,XGBoost,12.169981344326347,9.662051971122835,2.2896545114826163,148.1084459212513
45,technical_sentiment,LSTM,11.544814934615317,9.364885042000612,2.2125758966648843,133.28275187451686
45,technical_sentiment,GRU,11.98492894727047,9.606608283877694,2.268536834453293,143.63852187112167
45,technical_sentiment,Transformer,11.207878582584142,9.062887136579125,2.147819194286492,125.61654232194832
45,technical_sentiment,XGBoost,12.810254216938786,10.468213975146474,2.484310787063051,164.10261310259796
46,technical,LSTM,10.86367419381237,8.69410454664896,2.066934173796337,118.01941698930486
46,technical,GRU,10.977232347662762,8.889600464416763,2.108131964502814,120.4996300145737
46,technical,Transformer,11.114005918713772,9.088817811250397,2.152918895232847,123.52112756120475
46,technical,XGBoost,12.641098150449299,10.134873438599072,2.3989985657288555,159.79736244929268
46,technical_sentiment,LSTM,11.226651561936864,9.04140451885832,2.1469045116378123,126.03770529313942
46,technical_sentiment,GRU,12.856234547223252,10.4084522505964,2.4540912590948856,165.28276673321665
46,technical_sentiment,Transformer,11.402732108038728,9.225326730553125,2.183077072708289,130.02229952769733
46,technical_sentiment,XGBoost,12.810183048016045,10.298063047428561,2.436065217007097,164.10078972367762
