epoch,train_loss,val_loss,val_mae_dollars,learning_rate
1,0.02717020823911298,0.004978823009878397,9.559503473384543,0.0001
2,0.0071004530909704044,0.0050805117934942245,9.54028876430785,0.0001
3,0.006664222579274792,0.004455923568457365,8.982596495216072,0.0001
4,0.006653600474237464,0.004363119136542082,8.91744340495214,0.0001
5,0.006701303747831844,0.004296834580600262,8.885656962370476,0.0001
6,0.006661557607003488,0.004803047981113195,9.367958409912486,0.0001
7,0.0063690975730423816,0.00447665061801672,9.011324786426831,0.0001
8,0.006164831793284975,0.005382613278925419,10.060933813623647,0.0001
9,0.006378427078743698,0.004799144808202982,9.375952837666153,0.0001
10,0.006168661901028827,0.0042773219756782055,8.865513875502678,0.0001
11,0.006194959867571015,0.004316295962780714,8.88595680384376,0.0001
12,0.006022681583999656,0.004169726278632879,8.743443524802831,0.0001
13,0.00632578269141959,0.0046311961486935616,9.193258631011188,0.0001
14,0.006212001098901965,0.004517043475061655,9.084579014911396,0.0001
15,0.006046132337360177,0.00573025131598115,10.571861949691906,0.0001
16,0.006229672268091235,0.004512788262218237,9.05802864349424,0.0001
17,0.006236734188860282,0.004841964226216078,9.47442408431892,0.0001
18,0.00612408913730178,0.005107818637043238,9.706809037234773,0.0001
19,0.006068947157473303,0.004294844809919596,8.840334154903873,5e-05
20,0.005723931870306842,0.004482376854866743,9.064816273714055,5e-05
21,0.005678770234226249,0.004464518744498491,9.045765595953656,5e-05
22,0.006035865197191015,0.005369909573346376,10.129631487080761,5e-05
23,0.005664227592205862,0.004244407173246145,8.849604682550911,5e-05
24,0.005963902673101984,0.004153085872530937,8.754637570522647,5e-05
25,0.005716984916944057,0.004299434367567301,8.917859592321681,2.5e-05
26,0.00580887975229416,0.004293018952012062,8.920893957627024,2.5e-05
27,0.005823050611070357,0.004345626570284367,9.01526325959589,2.5e-05
28,0.00578627891081851,0.004398132674396038,9.020395642610469,2.5e-05
29,0.005911026448302437,0.004477543290704489,9.106853742051499,2.5e-05
30,0.005794729993795045,0.004424830432981253,9.073339028411615,2.5e-05
31,0.0058384802177897654,0.004326631780713797,8.96331479142201,1.25e-05
32,0.0057546546595403925,0.00449540326371789,9.130475887658678,1.25e-05
33,0.005795077406219207,0.004270622041076422,8.873628579323807,1.25e-05
34,0.005760341191489715,0.004371331073343754,8.993839602168068,1.25e-05
35,0.005443146401375998,0.004306109622120857,8.92094227044635,1.25e-05
36,0.005667255172738805,0.004417706280946732,9.039195917398025,1.25e-05
37,0.005772636031906586,0.004399123135954142,9.023387220582764,6.25e-06
38,0.005821424172609113,0.004357264377176762,8.983648891914816,6.25e-06
39,0.005826967491884716,0.004590204916894436,9.226608398835399,6.25e-06
40,0.0054517583157576155,0.004445631522685289,9.069613701407954,6.25e-06
41,0.005389697624195833,0.0044601536355912685,9.0818362405918,6.25e-06
42,0.005571322129981127,0.004489392042160034,9.114292786034408,6.25e-06
43,0.005691557431418914,0.004452004563063383,9.073321720862724,3.125e-06
44,0.0056397671505692415,0.004471026826649904,9.094162161515438,3.125e-06
45,0.005779368846560828,0.00443812133744359,9.062886018054115,3.125e-06
46,0.005823048188176472,0.004435268696397543,9.06254470851017,3.125e-06
47,0.005870348795724567,0.004413248971104622,9.040472827974886,3.125e-06
48,0.005574551803874783,0.004443127661943436,9.073022396808007,3.125e-06
49,0.005762567190686241,0.0044296178966760635,9.060843921066855,1.5625e-06
50,0.006005767201713752,0.004406956490129232,9.0367193753619,1.5625e-06
