epoch,train_loss,val_loss,val_mae_dollars,learning_rate
1,0.011403497017454356,0.004942294210195541,9.623090383253132,0.0001
2,0.007894745795056224,0.0050438265316188335,9.370519622154527,0.0001
3,0.007219714236271102,0.004760966636240482,9.223008886045179,0.0001
4,0.006607387003896292,0.0045872582122683525,9.095888759076473,0.0001
5,0.006836797205323819,0.004611940123140812,9.194206573209293,0.0001
6,0.006419584002287593,0.005100973881781101,9.579291802844333,0.0001
7,0.006306592345936224,0.004655625205487013,9.28843753110867,0.0001
8,0.00609170305688167,0.00536835053935647,9.895819865552534,0.0001
9,0.006222023905138485,0.005197574850171804,9.738845389848874,0.0001
10,0.006024426511430647,0.004676150158047676,9.30560202851338,0.0001
11,0.0058049428698723204,0.004584427922964096,9.19675436463179,5e-05
12,0.006137347809271887,0.004558099899441004,9.206216715876739,5e-05
13,0.005974693092866801,0.0046379221603274345,9.246104776566469,5e-05
14,0.005924142948060762,0.004562084563076496,9.204917801874375,5e-05
15,0.005882400197151583,0.0047139376401901245,9.279793617830553,5e-05
16,0.005884168029297143,0.004829497542232275,9.35078224947842,5e-05
17,0.0058897312701446936,0.0046901581808924675,9.26754130377738,2.5e-05
18,0.006083592830691487,0.004666782915592194,9.270404419257902,2.5e-05
19,0.006030256554367952,0.004653281066566706,9.269679530982433,2.5e-05
20,0.00592669885372743,0.004823319148272276,9.366244981634722,2.5e-05
21,0.00562563058338128,0.0046883816830813885,9.278630384042332,2.5e-05
22,0.006014172191498801,0.004748951178044081,9.30771072029319,2.5e-05
23,0.0058654340682551265,0.004742989782243967,9.3123353221759,1.25e-05
24,0.005898416326090228,0.004616524092853069,9.233325354916222,1.25e-05
25,0.0055974761708057486,0.0046570803970098495,9.264840278222543,1.25e-05
26,0.005820619873702526,0.004694306757301092,9.297154491001297,1.25e-05
27,0.005635869943944272,0.004646838642656803,9.272649990906682,1.25e-05
28,0.005753811587055679,0.0047179535031318665,9.315548543362949,1.25e-05
29,0.005770199692051392,0.0046968539245426655,9.299655136486905,6.25e-06
30,0.005847998552781064,0.004672967363148928,9.29274460498276,6.25e-06
31,0.005779765997431241,0.004645422101020813,9.269549258751981,6.25e-06
32,0.00573421838998911,0.004697765223681927,9.289818350339836,6.25e-06
33,0.005988235745462589,0.004690837115049362,9.2919839212016,6.25e-06
34,0.005767051472503226,0.004683011211454868,9.290636369112514,6.25e-06
35,0.005651342900819145,0.0046711633913218975,9.28069691526284,3.125e-06
36,0.0057224788833991624,0.004660364706069231,9.272493085499073,3.125e-06
37,0.005855890616658144,0.004666209686547518,9.279724543930033,3.125e-06
38,0.005748521616624203,0.004654574673622847,9.270003787291838,3.125e-06
39,0.005787332731415518,0.004681062884628773,9.287791028920084,3.125e-06
40,0.006013717633322813,0.00469328323379159,9.296226665349899,3.125e-06
41,0.005773984477855265,0.004675898235291243,9.284863607283416,1.5625e-06
42,0.005779578183137346,0.004676792770624161,9.286321181017616,1.5625e-06
43,0.005725257069570944,0.0046700346283614635,9.280353123171484,1.5625e-06
44,0.00578746129758656,0.004678081721067429,9.286837215294122,1.5625e-06
45,0.005701077796402387,0.004675118252635002,9.28581250628188,1.5625e-06
46,0.005734381964430213,0.004672439768910408,9.285019059455696,1.5625e-06
47,0.005878324416698888,0.004672914277762175,9.285672675740651,7.8125e-07
48,0.0059302713416400366,0.004680005833506584,9.2907582867018,7.8125e-07
49,0.005827010543725919,0.004685072228312492,9.295309161110564,7.8125e-07
50,0.005609782463579904,0.004678680561482906,9.290705712728725,7.8125e-07
